id,piece_name,category,era_or_year,materials_gemstones,price_type,sold_price,estimate_low,estimate_high,currency_note,sale_date,auction_house,sale_name,lot_number,listing_url,notes,source,first_captured
meta:sotheby's||2023-12-05|fancy light pinkish brown diamond and diamond ring,Fancy Light Pinkish Brown Diamond and Diamond Ring,ring,,,hammer,698500,600000,800000,USD,2023-12-05,Sotheby's,N11267,,,"Centering a cut-cornered rectangular step-cut Fancy Light Pinkish Brown diamond weighing 13.26 carats, framed and accented by round and marquise-shaped diamonds, size 5, partially signed David Webb. Accompanied by GIA report no. 6224929184 dated May 4, 2023 stating that the center diamond is Fancy Light Pinkish Brown, Natural color, VS1 clarity. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2022-06-16|'the earth star' | fancy deep orange-brown diamond, azurmalachite and diamond pendant | 地球之星 | david webb 鑲嵌 | 彩深橙棕色鑽石配天青孔雀石及鑽石吊墜","'The Earth Star' | Fancy Deep Orange-Brown Diamond, Azurmalachite and Diamond Pendant | 地球之星 | David Webb 鑲嵌 | 彩深橙棕色鑽石配天青孔雀石及鑽石吊墜",necklace,,,hammer,693000,1500000,2500000,USD,2022-06-16,Sotheby's,N10965,,,"Property from a Private Collection 'The Earth Star' | Mounted by David Webb | Fancy Deep Orange-Brown Diamond, Azurmalachite and Diamond Pendant 地球之星 | David Webb 鑲嵌 | 彩深橙棕色鑽石配天青 Featuring a pear-shaped 111.59-carat Fancy Deep Orange-Brown diamond within a frame of carved azurmalachite, further decorated with round diamonds, signed David Webb. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2025-12-09|nephrite, amethyst, ruby, and diamond 'demon mask' necklace-brooch combination","Nephrite, Amethyst, Ruby, and Diamond 'Demon Mask' Necklace-Brooch Combination",necklace,,,hammer,508000,20000,30000,USD,2025-12-09,Sotheby's,N11815,,,"The detachable clip-brooch designed as a carved nephrite mask of pre-Columbian inspiration wearing a textured gold headdress bezel-set with cabochon amethysts, the eyes similarly set with oval-shaped rubies, accented by round diamonds, suspended from a necklace composed of five rows of graduated amethyst beads, internal circumference approximately 16 inches, signed Webb; circa 1973. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2025-05-13|fancy deep orange-brown diamond, azurmalachite and diamond pendant, 'the earth star'","Fancy Deep Orange-Brown diamond, azurmalachite and diamond pendant, 'The Earth Star'",necklace,,,hammer,482600,450000,620000,CHF,2025-05-13,Sotheby's,GE2502,,,"Featuring a pear-shaped fancy deep orange-brown diamond weighing 111.59 carats, within a carved azurmalachite frame, further decorated with brilliant-cut diamonds, signed David Webb, fitted case stamped Earth Star by David Webb. Accompanied by GIA Identification and Origin report no. 6204551424, dated 19 December 2019, stating that the diamond is Fancy Deep Orange-Brown, Natural Colour; together with a GIA Monograph. — Auction type: Main Sales — Location: Geneva",sothebys-site,2026-08-07
"meta:sotheby's||2018-10-03|ruby, diamond and enamel bangle-bracelet and ring, david webb","RUBY, DIAMOND AND ENAMEL BANGLE-BRACELET AND RING, DAVID WEBB",bracelet,,,hammer,450000,320000,450000,HKD,2018-10-03,Sotheby's,HK0817,,,"The bangle-bracelet designed as a panda decorated with black and white enamel and cabochon rubies, embellished with brilliant-cut diamonds, mounted in 18 karat yellow gold and platinum, inner circumference approximately 150mm; and ring of similar design, mounted in 18 karat yellow and white gold, size 5¾; each signed David Webb and Webb respectively. — Auction type: Main Sales — Location: Hong Kong",sothebys-site,2026-08-07
meta:sotheby's||2018-12-04|suite of emerald and diamond jewelry,SUITE OF EMERALD AND DIAMOND JEWELRY,other,,,hammer,447000,150000,200000,USD,2018-12-04,Sotheby's,N09951,,,"Comprising: a detachable pendant centered on a six-rayed star-shaped emerald weighing 6.46 carats, framed by old mine and old European-cut diamonds, designed to be alternately mounted on a clip-brooch of floral design, set with two emerald-cut emeralds and numerous old-European and round diamonds, with screwdriver to detach pendant; a necklace designed as a line of old European-cut diamonds, set to the front with four emerald-cut emeralds, framed and accented by old mine and old European-cut diamonds, length 15¼ inches, fitted with pendant hook; and a pair of earclips en suite, earclips signed Webb. With signed and fitted box by David Webb. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
meta:sotheby's||2020-12-09|david webb | diamond bracelet [鑽石手鏈],David Webb | Diamond Bracelet [鑽石手鏈],bracelet,,,hammer,352800,200000,300000,USD,2020-12-09,Sotheby's,N10479,,,"Property from the Collection of Marylou Whitney [瑪麗露・惠特尼瑰藏] David Webb Diamond Bracelet [鑽石手鏈] Set with ten emerald-cut diamonds alternating with ten round diamonds, embellished with round and marquise-shaped diamonds, length 7¼ inches, signed Webb; circa 1960s. With signed box. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2020-12-09|david webb | emerald, ruby, sapphire and diamond necklace [祖母綠配紅寶石、藍寶石及鑽石項鏈]","David Webb | Emerald, Ruby, Sapphire and Diamond Necklace [祖母綠配紅寶石、藍寶石及鑽石項鏈]",necklace,,,hammer,327600,75000,100000,USD,2020-12-09,Sotheby's,N10479,,,"Property from the Collection of Marylou Whitney [瑪麗露・惠特尼瑰藏] David Webb Emerald, Ruby, Sapphire and Diamond Necklace [祖母綠配紅寶石、藍寶石及鑽石項鏈] Suspending a rectangular-shaped carved emerald pendant, framed by baguette diamonds, the necklace set with numerous square-shaped sugarloaf cabochon emeralds, accented by oval-shaped rubies, spaced by oval-shaped sapphires, further decorated with round diamonds, length 15 inches, necklace signed David Webb; circa 1970s. With signed box. — Auction type: Main Sales — Location: New York",sothebys-site,2026-08-07
"meta:sotheby's||2021-10-28|sapphire, emerald and diamond brooch | 大衛韋伯 | 藍寶石 配 祖母綠 及 鑽石 胸針","Sapphire, Emerald and Diamond Brooch | 大衛韋伯 | 藍寶石 配 祖母綠 及 鑽石 胸針",brooch,,,hammer,302400,150000,200000,HKD,2021-10-28,Sotheby's,HK1121,,,"David Webb | Sapphire, Emerald and Diamond Brooch 大衛韋伯 | 藍寶石 配 祖母綠 及 鑽石 胸針 Set with a cabochon sapphire weighing approximately 21.22 carats, decorated with brilliant-cut diamonds, highlighted with pear-shaped emeralds, mounted in 18 karat white gold and platinum, signed David Webb, cabochon sapphire fitting can be removed from the brooch. ﻿Accompanied by a gemmological report. — Auction type: Online Auctions — Location: Hong Kong",sothebys-site,2026-08-07
meta:sotheby's||2020-05-20|david webb | diamond clip brooch | 大衛韋博 鑽石別針,DAVID WEBB | DIAMOND CLIP BROOCH | 大衛韋博 鑽石別針,brooch,,,hammer,237500,200000,260000,HKD,2020-05-20,Sotheby's,HK0952,,,"DAVID WEBB DIAMOND CLIP BROOCH 大衛韋博 鑽石別針 Of floral design with an articulated stem, decorated with variously-shaped diamonds. Diamonds weighing a total of approximately 14.00 - 17.00 caratsSigned David Webb and Webb, numbered 52710ALPlatinum and 18 karat yellow gold — Auction type: Online Auctions — Location: Hong Kong",sothebys-site,2026-08-07
